Gene_A,Gene_B
MYB,KITLG
CREBBP,MYB
CDK6,MYB
MYB,CA1
MYB,COPA
MYB,PRTN3
UBE2I,MYB
MYB,JUND
MYB,BIRC3
MYB,MCM4
MYB,LYZ
MYB,H2AFZ
MYB,CLTA
MYB,TFEC
MYB,NRAS
MYB,GSTM1
LEF1,MYB
MYB,CCNA1
E2F1,MYB
MYB,LECT2
MYB,CSF1R
MYB,IQGAP1
MYB,MAT2A
MYB,JUN
HES1,MYB
MYB,CASP6
MYB,BCL2
MYC,MYB
MYB,CD4
MYB,CBX4
SKI,MYB
ZFPM1,MYB
MYB,ADORA2B
MYB,MAD1L1
MYB,TOM1
MYB,YEATS4
MYB,PIM1
MYB,IGHE
MYB,SND1
MYB,ATP2B1
MYB,PTCRA
EP300,MYB
MYB,GATA3
GATA1,MYB
MYB,RAG2
MYB,CCNB1
CCND1,MYB
MYB,KIT
MYB,ANPEP
SMAD4,HSPA8
HSPA8,CITED1
SMAD2,HSPA8
SMAD3,HSPA8
SP1,SMAD4
SMAD4,SP3
SMAD4,MAX
SMAD4,CTBP1
SMAD4,SMAD9
SMAD4,GSC
SMAD4,NKX2-5
SMAD4,FOXH1
SMAD4,ZFYVE16
SMAD4,CBFB
SMAD4,SAP18
SMAD4,NUP214
SMAD4,MYC
SMAD4,MEF2C
SMAD4,STK11IP
SMAD4,CDKN2B
SMAD4,STK11
SMAD4,SNAI1
SMAD4,GATA3
SMAD4,RBBP7
SMAD4,RBBP4
SMAD4,RUNX2
SMAD4,RUNX3
SMAD4,RUNX1
SMAD4,KPNA2
SMAD4,VDR
SMAD4,CDKN1A
SMAD4,IGHA1
SMAD4,KAT2B
SMAD4,HIF1A
SMAD4,DCP1A
SMAD4,SKI
SMAD4,SERPINE1
SMAD4,SMURF1
SMAD4,SAP30
SMAD4,FOS
SMAD4,JUN
SMAD4,TFE3
SMAD4,CDK4
SMAD4,DLX1
SMAD4,ENG
SMAD4,LAMC1
SMAD4,UBE2I
SMAD4,IRF7
SMAD4,ESR1
SMAD4,HNF4A
SMAD4,NUP153
SMAD4,TFDP1
SMAD4,SNIP1
SMAD4,SMAD5
SMAD4,SMAD6
SMAD4,SMAD7
SMAD4,SMAD1
SMAD4,SMAD2
SMAD4,SMAD3
SMAD4,NCOR1
SMAD4,NCOA1
SMAD4,ZBTB17
SMAD4,IFNB1
SMAD4,CITED1
SMAD4,TGFBR2
SMAD4,TGFBR1
SMAD4,RBL1
SMAD4,KAT2A
SMAD4,EP300
SMAD4,TGFBRAP1
SMAD4,IL10
SMAD4,ID1
SMAD4,PIAS3
SMAD4,CDK2
SMAD4,IL5
SMAD4,COL1A2
SMAD4,PIAS4
SMAD4,TGFB1
SMAD4,TGFB3
SMAD4,FOXG1
SMAD4,FOXO3
SMAD4,FOXO1
SMAD4,FOXO4
SMAD4,EBAG9
SMAD4,MYOD1
SMAD4,TGIF1
SMAD4,MED15
SMAD4,SIN3B
SMAD4,SIN3A
SMAD4,NR3C1
SMAD4,ITGB5
SMAD4,KPNB1
SMAD4,AR
SMAD4,SKIL
SMAD4,E2F5
SMAD4,E2F4
SMAD4,TLX2
SMAD4,CREBBP
SMAD4,TGIF2
SMAD4,ATF3
SMAD4,ATF2
SMAD2,CITED1
SMAD3,CITED1
CREBBP,CITED1
EP300,CITED1
SP1,SMAD2
MAX,SMAD2
CTBP1,SMAD2
SMAD7,SMAD2
SMAD2,CDKN2B
SMAD2,MEF2C
SMAD2,TGFB1
SMAD2,FOXG1
SMAD2,KAT2B
SMAD2,PML
SMAD2,FOXO3
SMAD2,ZFYVE9
SMAD2,FOXO1
SMAD2,TGFB3
SMAD2,DCP1A
SMAD2,FOXO4
SMAD2,DAB2
SMAD2,SKI
SMAD2,NCOR1
SMAD2,NKX2-5
SMAD2,FOXH1
SMAD2,CALM2
SMAD2,CALM3
SMAD2,PPM1A
SMAD2,CALM1
SMAD2,TGIF1
SMAD2,MAP3K1
SMAD2,STRAP
SMAD2,MAPK3
SMAD2,MAPK1
SMAD2,MED15
SMAD2,SAP18
SMAD2,NUP214
SMAD2,DYNLRB1
SMAD2,SIN3B
SMAD2,CTDSP1
SMAD2,CTDSP2
SMAD2,SIN3A
SMAD2,CTDSPL
SMAD2,TGFBR2
SMAD2,TGFBR1
SMAD2,SMURF2
SMAD2,CAMK2A
SMAD3,SMAD2
SMAD2,GPC1
SMAD2,CDKN1A
SMAD2,SNIP1
SMAD2,SKIL
SMAD2,SAP30
SMAD2,ZBTB17
EP300,SMAD2
SMAD2,MYC
SMAD2,RBBP7
SMAD2,GSC
SMAD2,RBBP4
SMAD2,NUP153
SMAD2,NEDD4L
SMAD2,KPNA2
SMAD2,FKBP1A
SMAD2,TFAP2B
CREBBP,SMAD2
SMAD2,PIAS3
SP1,SMAD3
SMAD3,SP3
SMAD3,MAX
SMAD3,SMAD7
SMAD3,ZFYVE9
SMAD3,GSC
SMAD3,DAB2
SMAD3,STRAP
SMAD3,SNIP1
SMAD3,CBFB
SMAD3,SAP18
SMAD3,NUP214
SMAD3,MYC
SMAD3,MEF2C
SMAD3,CDKN2B
SMAD3,SNAI1
SMAD3,GATA3
SMAD3,RBBP7
SMAD3,RBBP4
SMAD3,RUNX2
SMAD3,RUNX3
SMAD3,RUNX1
SMAD3,KPNA2
SMAD3,FKBP1A
SMAD3,VDR
SMAD3,CDKN1A
SMAD3,IGHA1
SMAD3,KAT2B
SMAD3,HIF1A
SMAD3,SKI
SMAD3,SERPINE1
SMAD3,SAP30
SMAD3,PPM1A
SMAD3,FOS
SMAD3,JUN
SMAD3,TFE3
SMAD3,CDK4
SMAD3,DLX1
SMAD3,ENG
SMAD3,LAMC1
SMAD3,IRF7
SMAD3,ESR1
SMAD3,HNF4A
SMAD3,NUP153
SMAD3,CREBBP
SMAD3,NCOR1
SMAD3,NCOA1
SMAD3,ZBTB17
SMAD3,IFNB1
SMAD3,MAPK3
SMAD3,MAPK1
SMAD3,PML
SMAD3,CTDSP1
SMAD3,CTDSP2
SMAD3,CTDSPL
SMAD3,TGFBR2
SMAD3,TGFBR1
SMAD3,RBL1
SMAD3,KAT2A
SMAD3,EP300
SMAD3,IL10
SMAD3,PIAS3
SMAD3,CDK2
SMAD3,IL5
SMAD3,COL1A2
SMAD3,PIAS4
SMAD3,TGFB1
SMAD3,TGFB3
SMAD3,FOXG1
SMAD3,FOXO3
SMAD3,FOXO1
SMAD3,FOXO4
SMAD3,SPTBN1
SMAD3,MYOD1
SMAD3,AXIN1
SMAD3,TFAP2B
SMAD3,MED15
SMAD3,TERT
SMAD3,SIN3B
SMAD3,SIN3A
SMAD3,NR3C1
SMAD3,ITGB5
SMAD3,KPNB1
SMAD3,AR
SMAD3,E2F5
SMAD3,E2F4
SMAD3,TFDP1
SMAD3,TGIF2
SMAD3,ATF3
SMAD3,ATF2
JUN,B2M
B2M,HLA-A
B2M,PRKCQ
B2M,CD247
B2M,TRBC1
B2M,CD80
B2M,FYN
B2M,CD86
B2M,EOMES
B2M,GRAP2
B2M,ZAP70
B2M,PAG1
B2M,CD28
B2M,SHC1
B2M,CSK
B2M,PRF1
B2M,CD8A
B2M,LCP2
B2M,CD8B
B2M,PTPN6
B2M,IL2RA
B2M,IL2RB
B2M,TRAC
B2M,IL2RG
B2M,VAV1
B2M,CBL
B2M,CD3E
B2M,IL2
B2M,PIK3CA
B2M,LAT
B2M,CD3D
B2M,LCK
B2M,CD3G
JUN,CD40LG
SMAD7,JUN
KLK3,JUN
JUN,ELK1
JUN,COPS5
JUN,AFP
JUN,GJA1
JUN,BTK
JUN,DCN
JUN,CREB1
JUN,CD3D
JUN,CD3E
JUN,CD3G
JUN,EGR1
JUN,BAG1
JUN,COL1A2
JUN,PTGS2
JUN,BATF3
MAPK14,JUN
JUN,MAPK10
JUN,FCER1A
JUN,JDP2
BCL2L11,JUN
JUN,ATF1
JUN,ATF3
JUN,ATF2
JUN,IFNG
JUN,THBD
JUN,IL2RA
CDKN2A,JUN
JUN,HRK
JUN,CCL2
JUN,NFATC1
JUN,NFATC2
JUN,NFATC3
JUN,FCER1G
JUN,TRBC1
CREBBP,JUN
JUN,CDK1
JUN,LPAR2
JUN,LPAR3
JUN,LPAR1
JUN,MSH2
JUN,FGFR2
JUN,FGFR3
JUN,SYK
JUN,CXCL8
JUN,FOS
TP53,JUN
JUN,ILK
JUN,KRT5
JUN,PENK
JUN,JUNB
JUN,JUND
JUN,IL13
JUN,IL6
JUN,IL4
IL5,JUN
JUN,IL2
JUN,IL3
JUN,IL23A
JUN,TIMP1
JUN,MS4A2
JUN,LYN
FASLG,JUN
JUN,HLA-A
JUN,SDC2
